;;PLAN F   UENTE;PLAN DESTINO
SPL_ANZOLA;1;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;2;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;3;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;4;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;5;ABA_N8_3072_BS;ABA_N9_3072_BS
SPL_ANZOLA;6;ABA_N9_3072_BS;ABA_N10_3072_BS
SPL_ANZOLA;7;ABA_N10_3072_BS;ABA_N11_3072_BS
SPL_ANZOLA;8;ABA_N11_3072_BS;ABA_N12_3072_BS
SPL_ANZOLA;9;ABA_N8_6144_BS;ABA_N9_6144_BS
SPL_ANZOLA;10;ABA_N9_6144_BS;ABA_N10_6144_BS
SPL_ANZOLA;11;ABA_N10_6144_BS;ABA_N11_6144_BS
SPL_ANZOLA;12;ABA_N11_6144_BS;ABA_N12_6144_BS
SPL_ANZOLA;13;ABA_N8_8192_BS;ABA_N9_8192_BS
SPL_ANZOLA;14;ABA_N9_8192_BS;ABA_N10_8192_BS
SPL_ANZOLA;15;ABA_N10_8192_BS;ABA_N11_8192_BS
SPL_ANZOLA;16;ABA_N11_8192_BS;ABA_N12_8192_BS
SPL_ANZOLA;17;ABA_N8_1536_BS_JV;ABA_N9_1536_BS_JV
SPL_ANZOLA;18;ABA_N9_1536_BS_JV;ABA_N10_1536_BS_JV
SPL_ANZOLA;19;ABA_N10_1536_BS_JV;ABA_N11_1536_BS_JV
SPL_ANZOLA;20;ABA_N11_1536_BS_JV;ABA_N12_1536_BS_JV
SPL_ANZOLA;21;ABA_N8_4096_BS;ABA_N9_4096_BS
SPL_ANZOLA;22;ABA_N9_4096_BS;ABA_N10_4096_BS
SPL_ANZOLA;23;ABA_N10_4096_BS;ABA_N11_4096_BS
SPL_ANZOLA;24;ABA_N11_4096_BS;ABA_N12_4096_BS
SPL_ANZOLA;25;ABA_N8_1536_BS_JV;ABA_N9_1536_BS_JV
SPL_ANZOLA;26;ABA_N9_1536_BS_JV;ABA_N10_1536_BS_JV
SPL_ANZOLA;27;ABA_N10_1536_BS_JV;ABA_N11_1536_BS_JV
SPL_ANZOLA;28;ABA_N11_1536_BS_JV;ABA_N12_1536_BS_JV
SPL_ANZOLA;29;ABA_N8_6144_BS;ABA_N9_6144_BS
SPL_ANZOLA;30;ABA_N9_6144_BS;ABA_N10_6144_BS
SPL_ANZOLA;31;ABA_N10_6144_BS;ABA_N11_6144_BS
SPL_ANZOLA;32;ABA_N11_6144_BS;ABA_N12_6144_BS
